"gene_id","module_name","module_color"
"ASV_1116","module_5","green"
"ASV_1079","module_2","blue"
"ASV_1508","module_2","blue"
"ASV_839","module_1","turquoise"
"ASV_942","module_9","magenta"
"ASV_893","module_0","grey"
"ASV_886","module_0","grey"
"ASV_933","module_0","grey"
"ASV_903","module_7","black"
"ASV_1830","module_4","yellow"
"ASV_1514","module_2","blue"
"ASV_1091","module_0","grey"
"ASV_954","module_1","turquoise"
"ASV_1706","module_2","blue"
"ASV_871","module_1","turquoise"
"ASV_1059","module_1","turquoise"
"ASV_1054","module_2","blue"
"ASV_919","module_5","green"
"ASV_896","module_1","turquoise"
"ASV_1332","module_2","blue"
"ASV_1737","module_4","yellow"
"ASV_1094","module_5","green"
"ASV_867","module_1","turquoise"
"ASV_904","module_0","grey"
"ASV_930","module_7","black"
"ASV_1119","module_1","turquoise"
"ASV_2167","module_2","blue"
"ASV_887","module_5","green"
"ASV_1536","module_2","blue"
"ASV_917","module_1","turquoise"
"ASV_1301","module_2","blue"
"ASV_1355","module_4","yellow"
"ASV_924","module_6","red"
"ASV_1724","module_9","magenta"
"ASV_1419","module_4","yellow"
"ASV_977","module_1","turquoise"
"ASV_994","module_6","red"
"ASV_1026","module_0","grey"
"ASV_866","module_1","turquoise"
"ASV_973","module_0","grey"
"ASV_1074","module_0","grey"
"ASV_925","module_1","turquoise"
"ASV_935","module_0","grey"
"ASV_906","module_1","turquoise"
"ASV_1761","module_9","magenta"
"ASV_931","module_0","grey"
"ASV_1155","module_1","turquoise"
"ASV_1496","module_2","blue"
"ASV_1196","module_0","grey"
"ASV_892","module_1","turquoise"
"ASV_1425","module_8","pink"
"ASV_1103","module_0","grey"
"ASV_993","module_0","grey"
"ASV_969","module_0","grey"
"ASV_1075","module_6","red"
"ASV_1665","module_4","yellow"
"ASV_905","module_0","grey"
"ASV_1090","module_0","grey"
"ASV_902","module_0","grey"
"ASV_2004","module_9","magenta"
"ASV_1897","module_2","blue"
"ASV_1408","module_0","grey"
"ASV_1028","module_1","turquoise"
"ASV_1085","module_1","turquoise"
"ASV_1016","module_6","red"
"ASV_1499","module_2","blue"
"ASV_956","module_0","grey"
"ASV_1137","module_0","grey"
"ASV_1354","module_2","blue"
"ASV_1080","module_0","grey"
"ASV_1298","module_1","turquoise"
"ASV_1109","module_0","grey"
"ASV_1515","module_2","blue"
"ASV_1816","module_2","blue"
"ASV_1174","module_3","brown"
"ASV_1019","module_1","turquoise"
"ASV_1415","module_8","pink"
"ASV_1809","module_2","blue"
"ASV_1022","module_7","black"
"ASV_914","module_0","grey"
"ASV_1443","module_2","blue"
"ASV_970","module_0","grey"
"ASV_1192","module_0","grey"
"ASV_1017","module_7","black"
"ASV_1048","module_0","grey"
"ASV_1030","module_0","grey"
"ASV_1120","module_6","red"
"ASV_1690","module_2","blue"
"ASV_1118","module_1","turquoise"
"ASV_1166","module_0","grey"
"ASV_1655","module_4","yellow"
"ASV_981","module_5","green"
"ASV_1247","module_1","turquoise"
"ASV_1100","module_0","grey"
"ASV_1021","module_0","grey"
"ASV_1475","module_4","yellow"
"ASV_1199","module_0","grey"
"ASV_1666","module_2","blue"
"ASV_1037","module_0","grey"
"ASV_1312","module_8","pink"
"ASV_1169","module_0","grey"
"ASV_1167","module_0","grey"
"ASV_1463","module_0","grey"
"ASV_2241","module_4","yellow"
"ASV_1412","module_0","grey"
"ASV_1232","module_7","black"
"ASV_1368","module_4","yellow"
"ASV_1041","module_1","turquoise"
"ASV_1131","module_0","grey"
"ASV_1436","module_4","yellow"
"ASV_1076","module_0","grey"
"ASV_1327","module_1","turquoise"
"ASV_1928","module_4","yellow"
"ASV_1829","module_2","blue"
"ASV_1846","module_0","grey"
"ASV_2075","module_2","blue"
"ASV_1127","module_8","pink"
"ASV_1553","module_2","blue"
"ASV_1069","module_1","turquoise"
"ASV_1151","module_0","grey"
"ASV_1180","module_0","grey"
"ASV_1773","module_4","yellow"
"ASV_1578","module_4","yellow"
"ASV_1095","module_1","turquoise"
"ASV_1188","module_7","black"
"ASV_1148","module_0","grey"
"ASV_1104","module_0","grey"
"ASV_1372","module_2","blue"
"ASV_1058","module_1","turquoise"
"ASV_1852","module_9","magenta"
"ASV_1485","module_2","blue"
"ASV_1256","module_0","grey"
"ASV_1349","module_8","pink"
"ASV_1060","module_0","grey"
"ASV_1133","module_0","grey"
"ASV_1175","module_7","black"
"ASV_1545","module_1","turquoise"
"ASV_2023","module_4","yellow"
"ASV_2347","module_9","magenta"
"ASV_1422","module_5","green"
"ASV_1736","module_4","yellow"
"ASV_1078","module_0","grey"
"ASV_1429","module_4","yellow"
"ASV_2192","module_2","blue"
"ASV_1171","module_0","grey"
"ASV_2240","module_4","yellow"
"ASV_1818","module_4","yellow"
"ASV_1431","module_2","blue"
"ASV_1179","module_0","grey"
"ASV_1290","module_0","grey"
"ASV_1141","module_0","grey"
"ASV_1369","module_0","grey"
"ASV_1743","module_4","yellow"
"ASV_2068","module_4","yellow"
"ASV_1126","module_8","pink"
"ASV_1904","module_2","blue"
"ASV_1278","module_5","green"
"ASV_1102","module_0","grey"
"ASV_1187","module_5","green"
"ASV_1838","module_5","green"
"ASV_1675","module_2","blue"
"ASV_1271","module_0","grey"
"ASV_1564","module_4","yellow"
"ASV_1228","module_6","red"
"ASV_1571","module_4","yellow"
"ASV_1143","module_1","turquoise"
"ASV_1172","module_0","grey"
"ASV_2108","module_2","blue"
"ASV_2141","module_2","blue"
"ASV_1084","module_0","grey"
"ASV_1156","module_7","black"
"ASV_2248","module_2","blue"
"ASV_2401","module_2","blue"
"ASV_1113","module_0","grey"
"ASV_1186","module_0","grey"
"ASV_1987","module_2","blue"
"ASV_1153","module_8","pink"
"ASV_1194","module_7","black"
"ASV_1191","module_0","grey"
"ASV_1281","module_0","grey"
"ASV_1384","module_8","pink"
"ASV_1483","module_0","grey"
"ASV_1283","module_5","green"
"ASV_1428","module_2","blue"
"ASV_1497","module_2","blue"
"ASV_1535","module_5","green"
"ASV_1621","module_6","red"
"ASV_2356","module_4","yellow"
"ASV_1219","module_5","green"
"ASV_1451","module_6","red"
"ASV_1149","module_0","grey"
"ASV_1966","module_2","blue"
"ASV_1164","module_0","grey"
"ASV_1274","module_5","green"
"ASV_1342","module_0","grey"
"ASV_2062","module_9","magenta"
"ASV_2129","module_4","yellow"
"ASV_1177","module_0","grey"
"ASV_1929","module_9","magenta"
"ASV_1270","module_0","grey"
"ASV_1427","module_0","grey"
"ASV_1552","module_5","green"
"ASV_1721","module_4","yellow"
"ASV_1233","module_6","red"
"ASV_2110","module_2","blue"
"ASV_1537","module_4","yellow"
"ASV_1664","module_2","blue"
"ASV_1189","module_0","grey"
"ASV_1231","module_0","grey"
"ASV_1250","module_5","green"
"ASV_1252","module_0","grey"
"ASV_1273","module_0","grey"
"ASV_1540","module_0","grey"
"ASV_1296","module_0","grey"
"ASV_1757","module_4","yellow"
"ASV_1856","module_4","yellow"
"ASV_2239","module_4","yellow"
"ASV_1386","module_0","grey"
"ASV_1299","module_0","grey"
"ASV_1794","module_3","brown"
"ASV_1328","module_1","turquoise"
"ASV_1688","module_5","green"
"ASV_1218","module_0","grey"
"ASV_1449","module_2","blue"
"ASV_1567","module_5","green"
"ASV_1691","module_4","yellow"
"ASV_1246","module_0","grey"
"ASV_1311","module_5","green"
"ASV_1616","module_4","yellow"
"ASV_1315","module_0","grey"
"ASV_1470","module_6","red"
"ASV_1395","module_7","black"
"ASV_1473","module_0","grey"
"ASV_1323","module_1","turquoise"
"ASV_1494","module_0","grey"
"ASV_1216","module_0","grey"
"ASV_1241","module_0","grey"
"ASV_2021","module_2","blue"
"ASV_2249","module_2","blue"
"ASV_1308","module_0","grey"
"ASV_1772","module_4","yellow"
"ASV_2284","module_5","green"
"ASV_1243","module_6","red"
"ASV_1333","module_7","black"
"ASV_1307","module_0","grey"
"ASV_1240","module_0","grey"
"ASV_1629","module_2","blue"
"ASV_1223","module_0","grey"
"ASV_1638","module_8","pink"
"ASV_1645","module_4","yellow"
"ASV_1546","module_0","grey"
"ASV_1591","module_2","blue"
"ASV_1203","module_0","grey"
"ASV_1560","module_0","grey"
"ASV_1840","module_2","blue"
"ASV_1324","module_7","black"
"ASV_1337","module_0","grey"
"ASV_1288","module_7","black"
"ASV_2403","module_4","yellow"
"ASV_1253","module_7","black"
"ASV_1516","module_0","grey"
"ASV_1832","module_7","black"
"ASV_2222","module_4","yellow"
"ASV_1361","module_9","magenta"
"ASV_1925","module_2","blue"
"ASV_1401","module_5","green"
"ASV_2048","module_0","grey"
"ASV_1375","module_0","grey"
"ASV_1866","module_2","blue"
"ASV_1221","module_0","grey"
"ASV_1309","module_7","black"
"ASV_1248","module_0","grey"
"ASV_1636","module_5","green"
"ASV_1287","module_5","green"
"ASV_1587","module_0","grey"
"ASV_1848","module_4","yellow"
"ASV_1319","module_0","grey"
"ASV_1330","module_0","grey"
"ASV_1466","module_8","pink"
"ASV_2074","module_2","blue"
"ASV_1849","module_4","yellow"
"ASV_1442","module_8","pink"
"ASV_1363","module_0","grey"
"ASV_1347","module_0","grey"
"ASV_1318","module_6","red"
"ASV_1899","module_4","yellow"
"ASV_1405","module_5","green"
"ASV_1689","module_2","blue"
"ASV_1338","module_0","grey"
"ASV_1569","module_0","grey"
"ASV_1353","module_6","red"
"ASV_1444","module_0","grey"
"ASV_2058","module_4","yellow"
"ASV_1289","module_0","grey"
"ASV_1917","module_4","yellow"
"ASV_2056","module_2","blue"
"ASV_1511","module_0","grey"
"ASV_1305","module_0","grey"
"ASV_1346","module_0","grey"
"ASV_2000","module_4","yellow"
"ASV_1357","module_0","grey"
"ASV_1376","module_0","grey"
"ASV_1406","module_7","black"
"ASV_1898","module_4","yellow"
"ASV_1341","module_5","green"
"ASV_1453","module_5","green"
"ASV_1683","module_2","blue"
"ASV_1797","module_2","blue"
"ASV_1435","module_0","grey"
"ASV_1661","module_6","red"
"ASV_1679","module_2","blue"
"ASV_1487","module_0","grey"
"ASV_1468","module_0","grey"
"ASV_2040","module_4","yellow"
"ASV_2076","module_5","green"
"ASV_2057","module_2","blue"
"ASV_1469","module_0","grey"
"ASV_1604","module_6","red"
"ASV_1416","module_7","black"
"ASV_1235","module_8","pink"
"ASV_1381","module_8","pink"
"ASV_1836","module_0","grey"
"ASV_2400","module_2","blue"
"ASV_1607","module_5","green"
"ASV_1825","module_0","grey"
"ASV_1484","module_5","green"
"ASV_1434","module_0","grey"
"ASV_1465","module_0","grey"
"ASV_2160","module_2","blue"
"ASV_1474","module_6","red"
"ASV_1559","module_0","grey"
"ASV_1407","module_0","grey"
"ASV_1780","module_5","green"
"ASV_2019","module_6","red"
"ASV_1364","module_0","grey"
"ASV_1495","module_0","grey"
"ASV_1977","module_4","yellow"
"ASV_2001","module_4","yellow"
"ASV_2055","module_2","blue"
"ASV_1539","module_0","grey"
"ASV_1440","module_0","grey"
"ASV_1700","module_2","blue"
"ASV_1424","module_0","grey"
"ASV_1389","module_2","blue"
"ASV_1397","module_0","grey"
"ASV_2345","module_4","yellow"
"ASV_1532","module_7","black"
"ASV_1787","module_7","black"
"ASV_2072","module_5","green"
"ASV_1839","module_6","red"
"ASV_1439","module_0","grey"
"ASV_1671","module_0","grey"
"ASV_2265","module_4","yellow"
"ASV_1433","module_0","grey"
"ASV_1527","module_0","grey"
"ASV_1596","module_8","pink"
"ASV_2267","module_2","blue"
"ASV_1400","module_0","grey"
"ASV_1551","module_7","black"
"ASV_1658","module_7","black"
"ASV_2034","module_2","blue"
"ASV_1518","module_7","black"
"ASV_1618","module_0","grey"
"ASV_1476","module_0","grey"
"ASV_1884","module_0","grey"
"ASV_1572","module_0","grey"
"ASV_2404","module_9","magenta"
"ASV_2376","module_4","yellow"
"ASV_1603","module_2","blue"
"ASV_1676","module_0","grey"
"ASV_2111","module_2","blue"
"ASV_1456","module_0","grey"
"ASV_2082","module_2","blue"
"ASV_2374","module_2","blue"
"ASV_1686","module_0","grey"
"ASV_1802","module_0","grey"
"ASV_1464","module_0","grey"
"ASV_1672","module_1","turquoise"
"ASV_1805","module_0","grey"
"ASV_2015","module_4","yellow"
"ASV_1460","module_7","black"
"ASV_1399","module_0","grey"
"ASV_1819","module_4","yellow"
"ASV_1493","module_0","grey"
"ASV_1524","module_5","green"
"ASV_2145","module_0","grey"
"ASV_2329","module_4","yellow"
"ASV_1441","module_0","grey"
"ASV_1458","module_0","grey"
"ASV_1725","module_0","grey"
"ASV_1847","module_2","blue"
"ASV_2069","module_4","yellow"
"ASV_1861","module_0","grey"
"ASV_2292","module_4","yellow"
"ASV_1720","module_8","pink"
"ASV_1446","module_0","grey"
"ASV_1677","module_0","grey"
"ASV_1393","module_5","green"
"ASV_1742","module_8","pink"
"ASV_1598","module_0","grey"
"ASV_1663","module_8","pink"
"ASV_1845","module_5","green"
"ASV_1522","module_0","grey"
"ASV_1530","module_7","black"
"ASV_1506","module_0","grey"
"ASV_1878","module_2","blue"
"ASV_2207","module_4","yellow"
"ASV_1593","module_0","grey"
"ASV_1640","module_7","black"
"ASV_1452","module_9","magenta"
"ASV_1492","module_6","red"
"ASV_1644","module_8","pink"
"ASV_1653","module_0","grey"
"ASV_1610","module_0","grey"
"ASV_1967","module_2","blue"
"ASV_2166","module_6","red"
"ASV_2397","module_5","green"
"ASV_1800","module_2","blue"
"ASV_1517","module_0","grey"
"ASV_1577","module_6","red"
"ASV_1817","module_2","blue"
"ASV_1865","module_2","blue"
"ASV_1719","module_6","red"
"ASV_1498","module_0","grey"
"ASV_1523","module_0","grey"
"ASV_2223","module_4","yellow"
"ASV_2308","module_2","blue"
"ASV_1529","module_0","grey"
"ASV_1907","module_5","green"
"ASV_2112","module_4","yellow"
"ASV_1834","module_0","grey"
"ASV_2152","module_7","black"
"ASV_2261","module_0","grey"
"ASV_1528","module_0","grey"
"ASV_1584","module_0","grey"
"ASV_1489","module_0","grey"
"ASV_1502","module_7","black"
"ASV_1620","module_0","grey"
"ASV_1566","module_0","grey"
"ASV_1599","module_0","grey"
"ASV_2375","module_4","yellow"
"ASV_1521","module_5","green"
"ASV_1561","module_0","grey"
"ASV_1637","module_0","grey"
"ASV_1989","module_2","blue"
"ASV_2384","module_2","blue"
"ASV_1576","module_6","red"
"ASV_1602","module_0","grey"
"ASV_1615","module_7","black"
